source_url,source_label,paragraph_text,matched_locations
https://reliefweb.int/report/india/chennai-floods-situation-report-no-1-chennai-flood-2-4-december-2015,reliefweb_sitrep,"Chennai City has also started releasing 20,000 cubic feet per second of water from Chembarambakkam reservoir into Adyar. A flood warning has been issued, and families along the Adyar River have been told to move to safer places. The state government has also mobilized fishing boats to assist in rescue and relief. ( source )",Adyar; Adyar River
https://www.environmentandsociety.org/arcadia/rains-floods-case-chennai-2015,academic_retrospective,"The unique feature of Chennai’s rainfall is that the major share is received during the northeast monsoon in the months of October to December. In November and December of 2015, Chennai received unprecedented levels of rainfall leading to the overflow of the arterial Adyar river, which in turn led to floods in the city. Multiple low-lying areas in the city were inundated for days together; massive rescue and evacuation efforts had to be undertaken in areas where houses were getting submerged.",Adyar; Adyar River
https://www.environmentandsociety.org/arcadia/rains-floods-case-chennai-2015,academic_retrospective,"Airborne evacuation and relief provision were rendered impossible due to the flooding of the city’s sole airport whose secondary runway had incidentally been constructed over what was once a part of the Adyar river. The flood carried with it an economic cost and the global insurance company Munich Re estimated the loss in and around Chennai to be at the tune of USD 3.5 billion, making it among the most costly global events of the year, second only to the Nepal earthquake.",Adyar; Adyar River
https://www.environmentandsociety.org/arcadia/rains-floods-case-chennai-2015,academic_retrospective,"First, despite the state’s impressive rescue efforts, the events of 2015 reiterated the lack of understanding of the city’s natural drainage systems. The state’s decision to drain the excess water from one of the city’s three main reservoirs added to the already-heightened volume of the Adyar river which is part of its natural flow pattern, leading to sudden flooding.",Adyar; Adyar River
https://www.thenewsminute.com/tamil-nadu/chennai-floods-velachery-residents-forced-to-evacuate-say-little-has-changed-since-2015,news,"“We thought it would have become better in the last eight years. But from 2015 to now, what has changed? We feel bad for ourselves now,” said Charu, a resident of Kuberan Nagar in Velachery. Most residential neighbourhoods in Velachery, like Vijayanagar, Ramnagar, Murugan Nagar and Kuberan Nagar had four feet water on Tuesday, December 5 and residents were left struggling with no power, water supply and other essentials. Though the flooding started on the night of December 4, the first boats came on December 5. A few families with children and elderly people left on the boats, while many others had to stay back or chose to stay back as leaving behind their belongings unguarded was not an option.",Velachery
https://www.thenewsminute.com/tamil-nadu/chennai-floods-velachery-residents-forced-to-evacuate-say-little-has-changed-since-2015,news,"“In 2015, there were no storm water drains (SWD) here, but this year we thought the SWD would work, but we didn't expect this much rain. There is more water in these areas as the Velachery lake breached. The excess water from Velachery lake is supposed to go to Pallikaranai through a canal,” Ibrahim said.",Velachery
https://www.thenewsminute.com/tamil-nadu/chennai-floods-velachery-residents-forced-to-evacuate-say-little-has-changed-since-2015,news,"According to Ibrahim, the water levels were much higher in his street during the 2015 December deluge. “That time the water crossed the first floor. This time, it is less. However, in 2015, as the SWD was not proper, the Corporation came and warned us during the rains. But this time, there was no warning because this much rain was not expected. Usually when it rains, we prepare ourselves and park cars on streets that won't get flooded, and on the Velachery flyovers,” he said.",Velachery
https://www.thenewsminute.com/tamil-nadu/chennai-floods-velachery-residents-forced-to-evacuate-say-little-has-changed-since-2015,news,"Rajaram, a 47-year-old IT worker, says his street was not badly flooded in 2015. “There was a reverse flow of water on December 4. Till around 4 pm, the water logging was not a lot. After that, the water began to rise very fast. Excess water from Adambakkam lake and Velachery lake was supposed to go to canals which empty into the Pallikaranai marsh. But if that point [where the canals empty into the marsh] is choked, then the water comes back,” he explained.",Adambakkam; Velachery
https://www.thenewsminute.com/tamil-nadu/chennai-floods-velachery-residents-forced-to-evacuate-say-little-has-changed-since-2015,news,"If Devi and Murugan were anxious about rebuilding their lives, Satya who lives in the neighbourhood is worried that she can’t take her mother-in-law for her scheduled knee surgery on December 7. “Everyone knows Velachery and Pallikaranai get flooded fast. Will this happen every year? When will the government plan better? Eight years have gone, what was done?” she asked.",Velachery
https://www.dtnext.in/news/city/flood-of-memories,news,"The city’s arterial roads were blocked. Areas like Mudichur, Perumbakkam, Pallavaram, Velachery, Pallikaranai, T Nagar, Saidapet, Kotturpuram and Vyasarpadi saw the floods washing away homes and stranded residents were rescued by boats to the safety of nearby shelters. As the water receded, people started to rebuild their lives, one brick at a time. However, for those who had lost their homes or loved ones, life was never the same again.",Kotturpuram; Saidapet; Velachery
