name,name_ta,type,subtype,ward_no,lon,lat
AMM School,,landmark,school,172.0,80.24166166017442,13.01899485
ARK Hospital,,landmark,hospital,179.0,80.2293536,12.9856999
Aathichudy Special School,,landmark,school,175.0,80.252718,13.0048641
Adhi Arunachaleshwar Temple,ஆதி அருணாசலேஸ்வரர் கோயில்,landmark,place_of_worship,170.0,80.2052816,13.025791
Adven Chirstian Church,,landmark,place_of_worship,182.0,80.25878620864472,12.977316550000001
Advent Christian Church,,landmark,place_of_worship,142.0,80.2247368841266,13.0203187
Advent Christian Church,,landmark,place_of_worship,174.0,80.22173292031277,13.00725325
Advent Christian Church,,landmark,place_of_worship,172.0,80.24466975,13.01692015
Advent Primary School,,landmark,school,172.0,80.24506072722214,13.018864950000001
Advent christian conference of india,,landmark,place_of_worship,179.0,80.2260892691194,12.9858914
Akshaya,,landmark,school,179.0,80.2224844,12.9787977
Alagappa College of Technology,,landmark,college,171.0,80.23833268121567,13.00788475
Ambedkar Law University - School of Excellence,,landmark,college,173.0,80.26426089381101,13.01648875
American International School Chennai,,landmark,school,180.0,80.24658317928336,12.9822432
Anna GEM Science Park Matriculation Higher Secondary School,,landmark,school,171.0,80.23889163874563,13.01595745
Anna High School,,landmark,school,176.0,80.26843206604913,13.000597800000001
Anna Institute of Management,,landmark,college,173.0,80.25347823023267,13.0185973
Annai Velankanni Church,,landmark,place_of_worship,181.0,80.27082224283366,12.995035600000001
Annai Velankanni College,,landmark,college,170.0,80.21485992056199,13.01934535
Annai Velankanni Shrine,,landmark,place_of_worship,181.0,80.2700336649367,12.9951775
Apollo Specialty Hospitals Private Limited,,landmark,hospital,173.0,80.2711008,13.0177957
Appasamy Krishna Hospital and Medical Research Centre,,landmark,hospital,178.0,80.2205016,12.9758647
Arulmighu Shri Mahamari Bhavani Amman Aalayam,,landmark,place_of_worship,180.0,80.2347321,12.9827747
Arulmigu Karaneeswarar Temple,,landmark,place_of_worship,142.0,80.2233811,13.0247641
Arulmigu Pidari Sri Ilan Kaliamman Temple,,landmark,place_of_worship,171.0,80.22631914337455,13.021894249999999
Arulmigu Shri Valampuri Selva Vinayagar Aalayam,,landmark,place_of_worship,180.0,80.2351107,12.9823344
Arupadai Veedu Temple Complex,,landmark,place_of_worship,181.0,80.2686022,12.989065
Ashtalakshmi Temple,அஷ்டலெட்சுமி கோயில்,landmark,place_of_worship,181.0,80.27036701180941,12.992552100000001
Ashwini Hospital,,landmark,hospital,181.0,80.2599586,12.9890173
Asian College of Journalism,,landmark,college,172.0,80.2462804,12.9961623
Athipathi Hospital and Research Centre,,landmark,hospital,179.0,80.2222002,12.9762711
Athipathy Hospitals,,landmark,hospital,179.0,80.22219035686352,12.97643445
Avvai Home,,landmark,school,176.0,80.26121224643248,13.0090272
Ayappan Koil,ஐயப்பன் கோயில்,landmark,place_of_worship,173.0,80.2680823,13.0189307
Ayesha Mosque,,landmark,place_of_worship,172.0,80.2409148986471,13.0253761
Bala Saravana Matriculation School,,landmark,school,177.0,80.2104214,12.9831591
Bala Vidya Mandir,,landmark,school,175.0,80.25078927708844,13.00986575
Balaji Hospital (P) Ltd,,landmark,hospital,170.0,80.20608622840193,13.00738175
Balakrishna Eye Hospital,,landmark,hospital,171.0,80.2269866,13.0274436
Balasubramanya Temple,,landmark,place_of_worship,177.0,80.2164707,12.982385050000001
Besant Nagar MTC Terminus,,landmark,bus_station,176.0,80.2657764,13.0003485
Besant Theosophical High School,,landmark,school,181.0,80.26428758241371,12.991089200000001
Bethel Matriculation hr sec school,,landmark,school,179.0,80.22294093419441,12.9759618
Bethel Telegu Baptist Church,,landmark,place_of_worship,170.0,80.19915220268082,13.01446395
Bharath HSS,,landmark,school,175.0,80.25593758655012,13.00166455
Bora Hospital,,landmark,hospital,142.0,80.2222779,13.022310950000001
C.S.I. Middle School,,landmark,school,142.0,80.22064891847063,13.02012685
C.S.I. St. Thomas Church,,landmark,place_of_worship,142.0,80.22243552202166,13.018854000000001
CSI Kingdom of God Church,,landmark,place_of_worship,171.0,80.22685569599071,13.02915035
CSI Meetpar Yesu Alayam,,landmark,place_of_worship,142.0,80.22586360540313,13.02201345
CSI St. Andrew's Church,,landmark,place_of_worship,171.0,80.2285528320032,13.028107649999999
CSI St. James Church,,landmark,place_of_worship,168.0,80.19414915125262,12.9781567
CSI Yesu Anbar Alayam,,landmark,place_of_worship,176.0,80.26474019758513,13.0083455
Calvary Community Church,,landmark,place_of_worship,175.0,80.24827525002787,13.004804400000001
Cancer Hospital,,landmark,hospital,175.0,80.24846217190013,13.0095334
